# Date: 20171018
# RBS Modification: sd0
# Shock Rate: None
# Purpose: Process intensity data from 20171018
# This experiment was conducted by shocking E. coli cells in which all seven
# mechanosensitive channel genes were removed from the chromosome. A single
# copy of mscL was introduced into the chromosome with the RBS modification
# sd0.
area,intensity,date,rbs,mean_bg,exposure_ms,replicate_number
6.937600000000001,188629.38511109835,20171018,sd0,101181.8851533238,25,6
6.348800000000001,170069.73319402622,20171018,sd0,101181.8851533238,25,6
6.8096000000000005,232520.27947886122,20171018,sd0,101181.8851533238,25,6
5.888,158593.9411563194,20171018,sd0,101181.8851533238,25,6
20.2496,168801.80728904615,20171018,sd0,101181.8851533238,25,6
8.1408,138458.9687297521,20171018,sd0,101181.8851533238,25,6
10.1632,186817.82012174797,20171018,sd0,104896.08718987781,25,6
8.7552,194420.8778004109,20171018,sd0,104896.08718987781,25,6
8.1408,196657.41804916965,20171018,sd0,104896.08718987781,25,6
12.288,195561.01397377084,20171018,sd0,104896.08718987781,25,6
6.8352,237818.45797820404,20171018,sd0,104896.08718987781,25,6
8.2944,201315.8349357924,20171018,sd0,104896.08718987781,25,6
