area,cell_label,file,mean_int,rbs,var_int
372.0,1.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos15.ome.tif,13856.071474865937,sd1,546627.7641658275
413.0,2.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos15.ome.tif,13807.815994057142,sd1,384975.7733027363
363.0,3.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos15.ome.tif,14085.486227815183,sd1,642904.9280666725
176.0,4.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos15.ome.tif,13662.037535798021,sd1,510580.02501554514
160.0,5.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos15.ome.tif,13399.105632860661,sd1,378682.9109128484
372.0,1.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos2.ome.tif,14167.800466433944,sd1,591993.2305543469
413.0,2.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos2.ome.tif,14161.532141140344,sd1,498935.8245015962
363.0,3.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos2.ome.tif,14329.182339419067,sd1,545896.4673588419
176.0,4.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos2.ome.tif,13930.435553892828,sd1,380778.69018877303
160.0,5.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos2.ome.tif,14226.590963415521,sd1,567674.1213551289
372.0,1.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos3.ome.tif,14279.845243745049,sd1,557098.8770802099
413.0,2.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos3.ome.tif,21452.5397097089,sd1,28998184.062757894
363.0,3.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos3.ome.tif,14109.29796213799,sd1,659468.6933385615
176.0,4.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos3.ome.tif,14281.815795691313,sd1,564746.277952499
